,Unnamed: 0,formatted_address,name,place_id,rating,user_ratings_total,geometry.location.lat,geometry.location.lng,opening_hours.open_now,permanently_closed,price_level
5586,5586,"Rte du Bois 11-13, 1753 Matran, Switzerland",OTTO'S S.A.,ChIJ74K1y5hvjkcRYkD7DOilZM8,4.0,751.0,46.7790731,7.0900278,True,,
5587,5587,"Rte du Bois 1, 1753 Matran, Switzerland",Interdiscount Matran,ChIJi8yNgphvjkcRHl-5MAhPPOU,4.5,60.0,46.7809084,7.0887696,True,,
5588,5588,"Rue François-Dussaud 15, 1227 Genève, Switzerland",ALIGRO,ChIJI7SBsy17jEcRTx6XoPkUcIs,4.4,636.0,46.1951988,6.1300665,True,,
5589,5589,"Rte de Lossy 16b, 1782 Belfaux, Switzerland",Migros,ChIJ2y8QMo9ujkcRByWc5dJwvjk,4.2,195.0,46.82281039999999,7.1086667,True,,
5590,5590,"Rte de la Rosière 10, 1782 Belfaux, Switzerland",Denner Discount,ChIJF7jTGGRujkcR44TzvJOcPVg,4.1,144.0,46.82402099999999,7.0992165,True,,
5591,5591,"Rte du Bugnon 10, 1782 Belfaux, Switzerland",Le marché gourmand SF SA,ChIJM7yFZ2hujkcRsbBCHHTnbA4,0.0,0.0,46.8211761,7.0927169,True,,
5592,5592,"Rte du Centre 1, 1782 Belfaux, Switzerland",Belvrac,ChIJhxRRC5hvjkcR2oc9FTclQTU,5.0,2.0,46.82129279999999,7.1080448,True,,
5593,5593,"Rte de Lossy 9, 1782 Belfaux, Switzerland",Kiosque de Belfaux,ChIJK8MQJIpujkcR3xUUVOs3pa8,4.5,22.0,46.8227374,7.107920399999999,True,,
5594,5594,"Rte d'Amont 1, 1720 Corminboeuf, Switzerland",Volg,ChIJwfaTtxFvjkcRqYX6R0DDDZc,4.1,31.0,46.8115845,7.1058669,True,,
5595,5595,"Chem. de Bethléem 3-7, 1700 Fribourg, Switzerland",Denner Express,ChIJd42LkOlvjkcRmODjK9qQ77Y,4.6,28.0,46.8006962,7.1448705,True,,
5596,5596,"Rte de Lossy 16, 1782 Belfaux, Switzerland",Pharmacie de Belfaux,ChIJYxqYBr9vjkcRmBJqUFasCmo,1.8,6.0,46.8228123,7.1087243,True,,
5597,5597,"Rte des Loisirs 1, 1762 Givisiez, Switzerland",ALDI SUISSE,ChIJBWCBJsNujkcRrNQ0rSVnTZA,4.1,86.0,46.8080826,7.1287483,True,,
5598,5598,"Rte de la Gare 81, 1744 Chénens, Switzerland",Coopérative et Société agricole Chénens,ChIJk7e_nYx6jkcRGGbUdfkm1NU,4.4,81.0,46.74876159999999,7.0007362,True,,
5599,5599,"Au Village 10, 1731 Ependes, Switzerland",Denner Partner,ChIJI4D9OANmjkcRlKf-anlGIm0,4.2,124.0,46.753944,7.1467912,True,,
5600,5600,"Rte des Molleyres 4, 1744 Chénens, Switzerland",Garage du Chêne,ChIJ0ZcUC_F6jkcRMDaV_SAq_cU,4.8,6.0,46.748435,7.002335,True,,
5601,5601,"Rte des Loisirs 1, 1762 Givisiez, Switzerland",Econorama,ChIJ85un29hvjkcRkVVgvbJeVxo,5.0,1.0,46.8079513,7.1290792,True,,
5602,5602,"Rte du Pâqui 5, 1720 Corminboeuf, Switzerland",Pharmacie de Corminboeuf,ChIJeca6afFujkcRz3Dz-0sNkVU,4.8,25.0,46.8121709,7.110664799999999,True,,
5603,5603,"Route du Bois, Centre Champs-Fleuri 11, 1753 Matran, Switzerland",Denner Discount,ChIJs0Z5xphvjkcR9lYwrcnda_0,4.2,87.0,46.7787427,7.09004,True,,
5604,5604,"Bd de Pérolles 21A, 1700 Fribourg, Switzerland",Migros,ChIJByfV4CtpjkcR0l8er2F_coY,4.1,615.0,46.7997944,7.1523051,True,,
5605,5605,"Chem. de Bethléem 7, 1700 Fribourg, Switzerland",Migros Supermarkt,ChIJi0_Qi9RujkcR3Igmxy0zFdU,4.0,194.0,46.80060599999999,7.144437,True,,
5606,5606,"Rte de Fribourg 44, 1741 Cottens, Switzerland",Boucherie de Cottens,ChIJNykEn197jkcRfM270nykVVc,4.4,11.0,46.752975,7.033225,True,,
5607,5607,"Chem. du Claru 4, 1723 Pierrafortscha, Switzerland",Le Marché du Claru,ChIJl0_UG-hojkcRnudfxfpD5Uk,4.5,85.0,46.7846182,7.1667628,True,,
5608,5608,"Rue du Criblet 4, 1700 Fribourg, Switzerland",Denner Express,ChIJXWkz1ThpjkcRyAa8nEXwQag,4.9,7.0,46.8046939,7.153721,True,,
5609,5609,"Rte de Villars 13, 1700 Fribourg, Switzerland",Alimentation Milcev,ChIJ87lnd9RujkcR5T5r8j2DamI,0.0,0.0,46.8012633,7.143643399999999,,,
